id,label,conexiones,opciones
1,"MANIPULAR COMPORTAMIENTOS MEDIANTE ADS",8
2,"EQUIVALENTE A QUE CADA UNO TENGA UNA DEFINICION DISTINTA EN WIKIPEDIA, LA CUAL FUE AJUSTADA POR ANUNCIANTES Y AIs PARA LOGRAR MAYOR SCREENTIME",
3,"COLAPSO DEL DIALOGO POLITICO, CUESTIONAMIENTO INSTITUCIONES Y PROCESOS DEMOCRATICOS, MAYOR POPULISMO, GUERRA CIVIL, MAS DICTADURAS, DISCRIMINACION MINORIAS",
4,"AVANCE EXPONENCIAL DE PODER COMPUTACIONAL",7-13
5,"INTERESES DE TERCEROS: gobiernos/dictadores/corporaciones",1-14
6,"CADA UNO EN SU REALIDAD",2
7,"QUIEN GANARA?",
8,"ANUNCIOS ULTRA TARGETEADOS",
9,"EFECTO BURBUJA",6-16
10,"ROMPEMOS LAS BASES SOBRE QUE ES VERDAD Y QUE NO LO ES",3
11,"PRIVACIDAD DE LAS PERSONAS COMPROMETIDA",17
12,"MINAR DATOS PERSONALES DE USUARIOS: casi sin regulacion",11-13
13,"MEJORES AIs",18
14,"FAKE NEWS + TEORIAS CONSPIRATIVAS",19-25-10
15,"CONTENIDO EXTREMISTA",25
16,"MAYOR POLARIZACION",15-3
17,"'SURVEILLANCE CAPITALISM'",
18,"FEED+ADS PERSONALIZADO A CADA UNO",8-9-25
19,"AIs NO PUEDEN DETECTARLAS",
20,"INCREMENTO DE ADHD",
21,"EVOLUCION LENTA DE NUESTRO CEREBRO",37-38-7
22,"INTERACTUAR Y SUBIR CONTENIDO A LOS SERVICIOS",12-30
23,"INCREMENTO DE SUICIDIO ADOLESCENTE",
24,"DISEÑO PERSUASIVO: diseño app, notificaciones, dark patterns, likes rojos, etc, similar a una maquina de casino",39-25
25,"MAS SCREENTIME",26-29,"{'color': { 'background': 'pink', 'border': 'purple' }}"
26,"MIRA MAS ADS",29
27,"BUSCAR NUEVO ESTIMULO",22
28,"A/B TESTING",24
29,"ADDICTION/MANIPULATION-BASED BUSINESS MODEL",31
30,"RECIBIR LIKES",40
31,"MANIPULAR USUARIOS, MINAR ATENCION, Y POLARIZAR SOCIEDAD SE VUELVE REDITUABLE!",
32,"DISMINUCION DE RELACIONES ROMANTICAS",
33,"ATROFIA NUESTRA CAPACIDAD DE AFRONTAR: - soledad - temor - incomodidad - aburrimiento - ...",20-23-35-32-34
34,"DISMINUCION DE LICENCIAS DE CONDUCIR",
35,"INCREMENTO DE ANSIEDAD ADOLESCENTE",
36,"COMUNICACION PRIMARIA== COMUNICACION DIGITAL",33
37,"NO EVOLUCIONAMOS PARA BUSCAR ACEPTACION DE MILES DE PERSONAS CADA 5 MINUTOS",33
38,"EVOLUCIONAMOS PARA BUSCAR ACEPTACION DE LA TRIBU",40
39,"GOLPE DE DOPAMINA",27
40,"ESTIMULO DE ACEPTACION: le damos sentido de valoracion e identidad a los likes",37-42-39
41,"ADICCION A INTERACCIONES DIGITALES",36
42,"NUEVA APROBACION SOCIAL",41
